Match,TEAM,OPPONENT,STAGE,RESULT,PASSES COMPLETED,PASSES ATTEMPTED
2026-M090-CAN-MAR,Morocco,Canada,Round of 16,W,420,499
2026-M091-BRA-NOR,Brazil,Norway,Round of 16,L,298,347
2026-M091-BRA-NOR,Norway,Brazil,Round of 16,W,627,683
2026-M092-MEX-ENG,Mexico,England,Round of 16,L,448,485
2026-M092-MEX-ENG,England,Mexico,Round of 16,W,204,254
2026-M093-POR-ESP,Portugal,Spain,Round of 16,L,378,459
2026-M093-POR-ESP,Spain,Portugal,Round of 16,W,490,548
2026-M094-USA-BEL,USA,Belgium,Round of 16,L,483,553
2026-M094-USA-BEL,Belgium,USA,Round of 16,W,340,423
2026-M095-ARG-EGY,Argentina,Egypt,Round of 16,W,558,618
2026-M095-ARG-EGY,Egypt,Argentina,Round of 16,L,316,382
2026-M096-SUI-COL,Switzerland,Colombia,Round of 16,W,561,641
2026-M096-SUI-COL,Colombia,Switzerland,Round of 16,L,462,562
2026-M097-FRA-MAR,France,Morocco,Quarter-final,W,450,497
2026-M097-FRA-MAR,Morocco,France,Quarter-final,L,469,539
2026-M098-ESP-BEL,Spain,Belgium,Quarter-final,W,625,693
2026-M098-ESP-BEL,Belgium,Spain,Quarter-final,L,254,320
2026-M099-NOR-ENG,Norway,England,Quarter-final,L,504,582
2026-M099-NOR-ENG,England,Norway,Quarter-final,W,593,653
2026-M100-ARG-SUI,Argentina,Switzerland,Quarter-final,W,629,716
2026-M100-ARG-SUI,Switzerland,Argentina,Quarter-final,L,404,476
2026-M101-FRA-ESP,France,Spain,Semi-final,L,417,496
2026-M101-FRA-ESP,Spain,France,Semi-final,W,439,517
2026-M102-ENG-ARG,England,Argentina,Semi-final,L,293,353
2026-M102-ENG-ARG,Argentina,England,Semi-final,W,549,610
2026-M103-FRA-ENG,France,England,Bronze final,L,412,453
2026-M103-FRA-ENG,England,France,Bronze final,W,479,535
2026-M104-ESP-ARG,Spain,Argentina,Final,W,789,878
2026-M104-ESP-ARG,Argentina,Spain,Final,L,375,476
